first_name,last_name,birthday,age,gender,party,chamber,state,birthyear,generation
Teresa,Leger Fernandez,1959-07-01,66,F,Democrat,House,NM,1959,Baby Boomer
Andrew,Garbarino,1984-09-27,41,M,Republican,House,NY,1984,Millennial
Nicole,Malliotakis,1980-11-11,45,F,Republican,House,NY,1980,Generation X
Ritchie,Torres,1988-03-12,38,M,Democrat,House,NY,1988,Millennial
Stephanie,Bice,1973-11-11,52,F,Republican,House,OK,1973,Generation X
Cliff,Bentz,1952-01-12,74,M,Republican,House,OR,1952,Baby Boomer
Nancy,Mace,1977-12-04,48,F,Republican,House,SC,1977,Generation X
Diana,Harshbarger,1960-01-01,66,F,Republican,House,TN,1960,Baby Boomer
Patrick,Fallon,1967-12-19,58,M,Republican,House,TX,1967,Generation X
August,Pfluger,1978-12-28,47,M,Republican,House,TX,1978,Generation X
Ronny,Jackson,1967-05-04,59,M,Republican,House,TX,1967,Generation X
Troy,Nehls,1968-04-07,58,M,Republican,House,TX,1968,Generation X
Beth,Van Duyne,1970-11-16,55,F,Republican,House,TX,1970,Generation X
Blake,Moore,1980-06-22,45,M,Republican,House,UT,1980,Generation X
Clarence,Owens,1951-08-02,74,M,Republican,House,UT,1951,Baby Boomer
Marilyn,Strickland,1962-09-25,63,F,Democrat,House,WA,1962,Baby Boomer
Scott,Fitzgerald,1963-11-16,62,M,Republican,House,WI,1963,Baby Boomer
Alejandro,Padilla,1973-03-22,53,M,Democrat,Senate,CA,1973,Generation X
Jon,Ossoff,1987-02-16,39,M,Democrat,Senate,GA,1987,Millennial
Raphael,Warnock,1969-07-23,56,M,Democrat,Senate,GA,1969,Generation X
Claudia,Tenney,1961-02-04,65,F,Republican,House,NY,1961,Baby Boomer
Julia,Letlow,1981-03-16,45,F,Republican,House,LA,1981,Millennial
Troy,Carter,1963-10-26,62,M,Democrat,House,LA,1963,Baby Boomer
Melanie,Stansbury,1979-01-31,47,F,Democrat,House,NM,1979,Generation X
Jake,Ellzey,1970-01-24,56,M,Republican,House,TX,1970,Generation X
Shontel,Brown,1975-06-24,50,F,Democrat,House,OH,1975,Generation X
Mike,Carey,1971-03-13,55,M,Republican,House,OH,1971,Generation X
Mike,Flood,1975-02-23,51,M,Republican,House,NE,1975,Generation X
Brad,Finstad,1976-05-30,49,M,Republican,House,MN,1976,Generation X
Patrick,Ryan,1982-03-28,44,M,Democrat,House,NY,1982,Millennial
Rudy,Yakym,1984-02-24,42,M,Republican,House,IN,1984,Millennial
Ryan,Zinke,1961-11-01,64,M,Republican,House,MT,1961,Baby Boomer
Katie,Britt,1982-02-02,44,F,Republican,Senate,AL,1982,Millennial
Eric,Schmitt,1975-06-20,50,M,Republican,Senate,MO,1975,Generation X
John,Fetterman,1969-08-15,56,M,Democrat,Senate,PA,1969,Generation X
Dale,Strong,1970-05-08,56,M,Republican,House,AL,1970,Generation X
Eli,Crane,1980-01-03,46,M,Republican,House,AZ,1980,Generation X
Juan,Ciscomani,1982-08-30,43,M,Republican,House,AZ,1982,Millennial
Kevin,Kiley,1985-01-30,41,M,Independent,House,CA,1985,Millennial
Kevin,Mullin,1970-06-15,55,M,Democrat,House,CA,1970,Generation X
Sydney,Kamlager-Dove,1972-07-20,53,F,Democrat,House,CA,1972,Generation X
Robert,Garcia,1977-12-02,48,M,Democrat,House,CA,1977,Generation X
Brittany,Pettersen,1981-12-06,44,F,Democrat,House,CO,1981,Millennial
Aaron,Bean,1967-01-25,59,M,Republican,House,FL,1967,Generation X
Cory,Mills,1980-07-30,45,M,Republican,House,FL,1980,Generation X
Maxwell,Frost,1997-01-17,29,M,Democrat,House,FL,1997,Generation Z
Anna,Luna,1989-05-06,37,F,Republican,House,FL,1989,Millennial
Laurel,Lee,1974-03-26,52,F,Republican,House,FL,1974,Generation X
Jared,Moskowitz,1980-12-18,45,M,Democrat,House,FL,1980,Generation X
Rich,McCormick,1968-10-07,57,M,Republican,House,GA,1968,Generation X
Mike,Collins,1967-07-02,58,M,Republican,House,GA,1967,Generation X
James (Jim),Moylan,1962-07-18,63,M,Republican,House,GU,1962,Baby Boomer
Jill,Tokuda,1976-03-28,50,F,Democrat,House,HI,1976,Generation X
Zachary (Zach),Nunn,1979-05-04,47,M,Republican,House,IA,1979,Generation X
Jonathan,Jackson,1966-01-07,60,M,Democrat,House,IL,1966,Generation X
Delia,Ramirez,1983-06-02,42,F,Democrat,House,IL,1983,Millennial
Nicole (Nikki),Budzinski,1977-03-11,49,F,Democrat,House,IL,1977,Generation X
Eric,Sorensen,1976-03-18,50,M,Democrat,House,IL,1976,Generation X
Erin,Houchin,1976-09-24,49,F,Republican,House,IN,1976,Generation X
Morgan,McGarvey,1979-12-23,46,M,Democrat,House,KY,1979,Generation X
Glenn,Ivey,1961-02-27,65,M,Democrat,House,MD,1961,Baby Boomer
Hillary,Scholten,1982-02-22,44,F,Democrat,House,MI,1982,Millennial
John,James,1981-06-08,44,M,Republican,House,MI,1981,Millennial
Shri,Thanedar,1955-02-22,71,M,Democrat,House,MI,1955,Baby Boomer
Mark,Alford,1963-10-04,62,M,Republican,House,MO,1963,Baby Boomer
Eric,Burlison,1976-10-02,49,M,Republican,House,MO,1976,Generation X
Mike,Ezell,1959-04-06,67,M,Republican,House,MS,1959,Baby Boomer
Donald,Davis,1971-08-29,54,M,Democrat,House,NC,1971,Generation X
Valerie,Foushee,1956-05-07,70,F,Democrat,House,NC,1956,Baby Boomer
Charles (Chuck),Edwards,1960-09-13,65,M,Republican,House,NC,1960,Baby Boomer
Thomas,Kean,1968-09-05,57,M,Republican,House,NJ,1968,Generation X
Robert,Menendez,1985-07-12,40,M,Democrat,House,NJ,1985,Millennial
Gabriel (Gabe),Vasquez,1984-08-03,41,M,Democrat,House,NM,1984,Millennial
Nicolas,LaLota,1978-06-23,47,M,Republican,House,NY,1978,Generation X
Dan,Goldman,1976-02-26,50,M,Democrat,House,NY,1976,Generation X
Michael,Lawler,1986-09-09,39,M,Republican,House,NY,1986,Millennial
Nicholas,Langworthy,1981-02-27,45,M,Republican,House,NY,1981,Millennial
Greg,Landsman,1976-12-04,49,M,Democrat,House,OH,1976,Generation X
Max,Miller,1988-11-13,37,M,Republican,House,OH,1988,Millennial
Emilia,Sykes,1986-01-04,40,F,Democrat,House,OH,1986,Millennial
Josh,Brecheen,1979-06-19,46,M,Republican,House,OK,1979,Generation X
Valerie,Hoyle,1964-02-14,62,F,Democrat,House,OR,1964,Baby Boomer
Andrea,Salinas,1969-12-06,56,F,Democrat,House,OR,1969,Generation X
Summer,Lee,1987-11-26,38,F,Democrat,House,PA,1987,Millennial
Chris,Deluzio,1984-07-13,41,M,Democrat,House,PA,1984,Millennial
Seth,Magaziner,1983-07-22,42,M,Democrat,House,RI,1983,Millennial
Russell,Fry,1985-01-31,41,M,Republican,House,SC,1985,Millennial
Andrew,Ogles,1971-06-18,54,M,Republican,House,TN,1971,Generation X
Nathaniel,Moran,1974-07-22,51,M,Republican,House,TX,1974,Generation X
Keith,Self,1953-03-20,73,M,Republican,House,TX,1953,Baby Boomer
Morgan,Luttrell,1975-11-07,50,M,Republican,House,TX,1975,Generation X
Mónica,De La Cruz,1974-11-11,51,F,Republican,House,TX,1974,Generation X
Jasmine,Crockett,1981-03-29,45,F,Democrat,House,TX,1981,Millennial
Gregorio,Casar,1989-05-04,37,M,Democrat,House,TX,1989,Millennial
Wesley,Hunt,1981-11-13,44,M,Republican,House,TX,1981,Millennial
Jennifer,Kiggans,1971-06-18,54,F,Republican,House,VA,1971,Generation X
Becca,Balint,1968-05-04,58,F,Democrat,House,VT,1968,Generation X
Marie,Gluesenkamp Perez,1988-06-06,37,F,Democrat,House,WA,1988,Millennial
Derrick,Van Orden,1969-09-15,56,M,Republican,House,WI,1969,Generation X
Harriet,Hageman,1962-10-18,63,F,Republican,House,WY,1962,Baby Boomer
Pete,Ricketts,1964-08-19,61,M,Republican,Senate,NE,1964,Baby Boomer
Jennifer,McClellan,1972-12-28,53,F,Democrat,House,VA,1972,Generation X
Gabe,Amo,1987-12-11,38,M,Democrat,House,RI,1987,Millennial
Celeste,Maloy,1981-05-22,45,F,Republican,House,UT,1981,Millennial
Thomas,Suozzi,1962-08-31,63,M,Democrat,House,NY,1962,Baby Boomer
Timothy,Kennedy,1976-10-20,49,M,Democrat,House,NY,1976,Generation X
Vince,Fong,1979-10-24,46,M,Republican,House,CA,1979,Generation X
Michael,Rulli,1969-03-11,57,M,Republican,House,OH,1969,Generation X
LaMonica,McIver,1986-06-20,39,F,Democrat,House,NJ,1986,Millennial
Tony,Wied,1976-05-03,50,M,Republican,House,WI,1976,Generation X
Cleo,Fields,1962-11-22,63,M,Democrat,House,LA,1962,Baby Boomer
Marlin,Stutzman,1976-08-31,49,M,Republican,House,IN,1976,Generation X
Gilbert,Cisneros,1971-02-12,55,M,Democrat,House,CA,1971,Generation X
Angela,Alsobrooks,1971-02-23,55,F,Democrat,Senate,MD,1971,Generation X
Tim,Sheehy,1985-11-18,40,M,Republican,Senate,MT,1985,Millennial
Bernie,Moreno,1967-02-14,59,M,Republican,Senate,OH,1967,Generation X
Dave,McCormick,1965-08-17,60,M,Republican,Senate,PA,1965,Generation X
Nicholas,Begich,1977-10-21,48,M,Republican,House,AK,1977,Generation X
Shomari,Figures,1985-09-03,40,M,Democrat,House,AL,1985,Millennial
Yassamin,Ansari,1992-04-07,34,F,Democrat,House,AZ,1992,Millennial
Abraham,Hamadeh,1991-05-15,35,M,Republican,House,AZ,1991,Millennial
Lateefah,Simon,1977-01-29,49,F,Democrat,House,CA,1977,Generation X
Adam,Gray,1977-09-23,48,M,Democrat,House,CA,1977,Generation X
Sam,Liccardo,1970-04-16,56,M,Democrat,House,CA,1970,Generation X
George,Whitesides,1974-03-03,52,M,Democrat,House,CA,1974,Generation X
Luz,Rivas,1974-02-06,52,F,Democrat,House,CA,1974,Generation X
Laura,Friedman,1966-12-03,59,F,Democrat,House,CA,1966,Generation X
Derek,Tran,1980-12-22,45,M,Democrat,House,CA,1980,Generation X
Dave,Min,1976-03-05,50,M,Democrat,House,CA,1976,Generation X
Jeff,Hurd,1979-08-15,46,M,Republican,House,CO,1979,Generation X
Jeff,Crank,1967-01-28,59,M,Republican,House,CO,1967,Generation X
Gabe,Evans,1986-07-28,39,M,Republican,House,CO,1986,Millennial
Sarah,McBride,1990-08-09,35,F,Democrat,House,DE,1990,Millennial
Mike,Haridopolos,1970-03-15,56,M,Republican,House,FL,1970,Generation X
Brian,Jack,1988-02-17,38,M,Republican,House,GA,1988,Millennial
Jefferson,Shreve,1965-09-24,60,M,Republican,House,IN,1965,Generation X
Mark,Messmer,1967-12-16,58,M,Republican,House,IN,1967,Generation X
Derek,Schmidt,1968-01-23,58,M,Republican,House,KS,1968,Generation X
Johnny,Olszewski,1982-09-10,43,M,Democrat,House,MD,1982,Millennial
Sarah,Elfreth,1988-09-09,37,F,Democrat,House,MD,1988,Millennial
April,McClain Delaney,1964-05-28,61,F,Democrat,House,MD,1964,Baby Boomer
Tom,Barrett,1981-04-30,45,M,Republican,House,MI,1981,Millennial
Kristen,McDonald Rivet,1970-07-11,55,F,Democrat,House,MI,1970,Generation X
Kelly,Morrison,1969-02-02,57,F,Democrat,House,MN,1969,Generation X
Wesley,Bell,1974-11-05,51,M,Democrat,House,MO,1974,Generation X
Robert,Onder,1962-01-06,64,M,Republican,House,MO,1962,Baby Boomer
Kimberlyn,King-Hinds,1975-04-10,51,F,Republican,House,MP,1975,Generation X
Troy,Downing,1967-03-04,59,M,Republican,House,MT,1967,Generation X
Addison,McDowell,1994-01-21,32,M,Republican,House,NC,1994,Millennial
Mark,Harris,1966-04-24,60,M,Republican,House,NC,1966,Generation X
Pat,Harrigan,1987-06-21,38,M,Republican,House,NC,1987,Millennial
Brad,Knott,1986-04-17,40,M,Republican,House,NC,1986,Millennial
Tim,Moore,1970-10-02,55,M,Republican,House,NC,1970,Generation X
Julie,Fedorchak,1968-09-28,57,F,Republican,House,ND,1968,Generation X
Maggie,Goodlander,1986-11-04,39,F,Democrat,House,NH,1986,Millennial
Herbert,Conaway,1963-01-30,63,M,Democrat,House,NJ,1963,Baby Boomer
Nellie,Pou,1956-05-20,70,F,Democrat,House,NJ,1956,Baby Boomer
Laura,Gillen,1969-07-10,56,F,Democrat,House,NY,1969,Generation X
George,Latimer,1953-11-22,72,M,Democrat,House,NY,1953,Baby Boomer
Josh,Riley,1981-01-21,45,M,Democrat,House,NY,1981,Millennial
John,Mannion,1968-07-08,57,M,Democrat,House,NY,1968,Generation X
David,Taylor,1969-11-16,56,M,Republican,House,OH,1969,Generation X
Maxine,Dexter,1972-12-05,53,F,Democrat,House,OR,1972,Generation X
Janelle,Bynum,1975-01-31,51,F,Democrat,House,OR,1975,Generation X
Ryan,Mackenzie,1982-08-03,43,M,Republican,House,PA,1982,Millennial
Robert,Bresnahan,1990-04-22,36,M,Republican,House,PA,1990,Millennial
Pablo José,Hernández Rivera,1991-05-11,35,M,Democrat,House,PR,1991,Millennial
Sheri,Biggs,1970-03-28,56,F,Republican,House,SC,1970,Generation X
Craig,Goldman,1968-10-03,57,M,Republican,House,TX,1968,Generation X
Brandon,Gill,1994-02-26,32,M,Republican,House,TX,1994,Millennial
Julie,Johnson,1966-05-02,60,F,Democrat,House,TX,1966,Generation X
Mike,Kennedy,1969-02-02,57,M,Republican,House,UT,1969,Generation X
John,McGuire,1968-08-24,57,M,Republican,House,VA,1968,Generation X
Eugene,Vindman,1975-06-06,50,M,Democrat,House,VA,1975,Generation X
Suhas,Subramanyam,1986-09-26,39,M,Democrat,House,VA,1986,Millennial
Michael,Baumgartner,1975-12-13,50,M,Republican,House,WA,1975,Generation X
Emily,Randall,1985-10-30,40,F,Democrat,House,WA,1985,Millennial
Riley,Moore,1980-07-01,45,M,Republican,House,WV,1980,Generation X
Jim,Justice,1951-04-27,75,M,Republican,Senate,WV,1951,Baby Boomer
Jon,Husted,1967-08-25,58,M,Republican,Senate,OH,1967,Generation X
Ashley,Moody,1975-03-28,51,F,Republican,Senate,FL,1975,Generation X
Jimmy,Patronis,1972-04-13,54,M,Republican,House,FL,1972,Generation X
Randall,Fine,1974-04-20,52,M,Republican,House,FL,1974,Generation X
James,Walkinshaw,1982-10-22,43,M,Democrat,House,VA,1982,Millennial
Adelita,Grijalva,1970-10-30,55,F,Democrat,House,AZ,1970,Generation X
Matt,Van Epps,1983-03-29,43,M,Republican,House,TN,1983,Millennial
Christian,Menefee,1988-04-18,38,M,Democrat,House,TX,1988,Millennial
Alan,Armstrong,1962-07-11,63,M,Republican,Senate,OK,1962,Baby Boomer
Clay,Fuller,1981-04-09,45,M,Republican,House,GA,1981,Millennial
Analilia,Mejia,1977-08-19,48,F,Democrat,House,NJ,1977,Generation X
